,Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
auto_arima,Auto ARIMA,2.2559,1.2158,4591.6042,5189.7547,0.1744,0.1585,-5.4442,2.768
omp_cds_dt,Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,3.9978,1.8763,5642.0217,6276.992,0.2335,0.23,-4.7873,0.05
exp_smooth,Exponential Smoothing,4.2002,1.9538,5673.723,6290.0615,0.2274,0.2294,-7.1848,0.082
arima,ARIMA,4.3354,2.0382,5884.3729,6778.3732,0.2356,0.2342,-9.5928,0.156
ets,ETS,4.3414,2.006,5957.2828,6501.5423,0.241,0.2443,-7.5004,0.052
huber_cds_dt,Huber w/ Cond. Deseasonalize & Detrending,5.468,2.5375,6099.816,6973.4289,0.2584,0.2948,-4.6795,0.066
par_cds_dt,Passive Aggressive w/ Cond. Deseasonalize & Detrending,5.5996,2.985,10276.7126,12140.0066,0.3794,0.3154,-47.3241,0.066
naive,Naive Forecaster,5.7563,2.5328,6034.32,6662.8729,0.2618,0.3094,-4.5286,0.812
ada_cds_dt,AdaBoost w/ Cond. Deseasonalize & Detrending,5.812,2.6055,6548.0754,7290.6565,0.2811,0.3197,-5.5038,0.094
et_cds_dt,Extra Trees w/ Cond. Deseasonalize & Detrending,5.8165,2.5468,6190.0663,6755.3858,0.2664,0.3142,-5.2895,0.572
dt_cds_dt,Decision Tree w/ Cond. Deseasonalize & Detrending,5.8347,2.5439,6374.9656,6851.5264,0.2665,0.3167,-7.5304,0.054
theta,Theta Forecaster,5.8688,2.6153,6610.5234,7273.8927,0.2844,0.3236,-5.3279,0.028
gbr_cds_dt,Gradient Boosting w/ Cond. Deseasonalize & Detrending,5.9464,2.6419,6816.6919,7456.706,0.2893,0.331,-6.5068,0.068
rf_cds_dt,Random Forest w/ Cond. Deseasonalize & Detrending,6.0824,2.6553,6695.5598,7245.5838,0.2856,0.3369,-6.7261,0.568
snaive,Seasonal Naive Forecaster,7.5369,3.1392,7347.8,7975.3084,0.3235,0.4744,-14.4669,0.028
knn_cds_dt,K Neighbors w/ Cond. Deseasonalize & Detrending,7.6966,3.216,7824.8198,8290.4059,0.3367,0.465,-13.2781,0.522
lightgbm_cds_dt,Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,8.1813,3.4585,8967.7546,9488.7356,0.3807,0.5241,-19.4804,0.064
croston,Croston,8.6133,3.5988,9085.7526,9688.8697,0.3793,0.5847,-28.9287,0.022
polytrend,Polynomial Trend Forecaster,8.8522,3.7559,10255.8231,10821.2613,0.4292,0.6104,-29.6669,0.022
grand_means,Grand Means Forecaster,12.5562,5.5673,19941.2888,20306.9289,0.769,1.3029,-85.6484,0.028
llar_cds_dt,Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,23.6007,12.1944,15299.869,20633.331,0.6913,0.3487,-46.4432,0.054
br_cds_dt,Bayesian Ridge w/ Cond. Deseasonalize & Detrending,57.8013,31.3067,31511.4999,46159.3315,1.4582,0.4,-280.7388,0.056
en_cds_dt,Elastic Net w/ Cond. Deseasonalize & Detrending,63.0712,34.4183,35982.8787,52869.7498,1.63,0.4661,-364.8328,0.056
lasso_cds_dt,Lasso w/ Cond. Deseasonalize & Detrending,63.1,34.4349,35996.7491,52892.1372,1.6307,0.4661,-365.1555,0.056
ridge_cds_dt,Ridge w/ Cond. Deseasonalize & Detrending,63.1163,34.4446,36008.1431,52910.8848,1.6311,0.4661,-365.4435,0.056
lr_cds_dt,Linear w/ Cond. Deseasonalize & Detrending,63.1177,34.4454,36008.8409,52912.0117,1.6312,0.4661,-365.4598,0.062
lar_cds_dt,Least Angular Regressor w/ Cond. Deseasonalize & Detrending,73.5477,41.9103,60354.309,90025.8941,2.3931,0.5843,-3167.4499,0.054
